Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Guijo de Granadilla;Cáceres;16.8 (15:50);2.4 (08:00);9,6;19 (03:20);13 (03:20);0;0;0;0;0
Hervás;Cáceres;14.1 (16:40);4.6 (00:50);9,4;19 (23:59);14 (10:50);0;0;0;0;0
Montehermoso;Cáceres;16.6 (17:00);-0.1 (05:10);8,3;10 (14:50);6 (01:20);0;0;0;0;0
Tornavacas;Cáceres;18.1 (13:50);8.2 (08:20);13,2;45 (04:20);31 (04:40);0;0;0;0;0
Piornal;Cáceres;14.8 (15:50);5.6 (00:40);10,2;27 (10:20);15 (13:00);0;0;0;0;0
Plasencia;Cáceres;17.5 (17:10);5.7 (06:30);11,6;20 (09:20);9 (11:00);0;0;0;0;0
Coria;Cáceres;15.8 (15:50);0.1 (07:20);8;20 (14:40);12 (14:50);0;0;0;0;0
Torrecilla de los Angeles;Cáceres;16.8 (15:50);0.5 (04:10);8,6;16 (14:00);10 (13:10);0;0;0;0;0
Hoyos;Cáceres;17.7 (15:40);3.9 (08:30);10,8;14 (13:10);9 (04:30);0;0;0;0;0
Zarza La Mayor;Cáceres;14.9 (16:40);4.3 (09:00);9,6;15 (08:20);10 (01:50);0;0;0;0;0
Valverde del Fresno;Cáceres;17.8 (16:20);1.9 (04:20);9,8;13 (18:40);12 (18:40);0;0;0;0;0
Aliseda;Cáceres;15.4 (16:40);-0.1 (09:40);7,6;11 (14:30);6 (14:30);0;0;0;0;0
Brozas;Cáceres;14.6 (15:30);4.1 (07:20);9,4;28 (03:50);22 (04:00);0;0;0;0;0
Valencia de Alcántara;Cáceres;14.9 (16:20);0.1 (08:10);7,5;23 (13:10);13 (14:00);0;0;0;0;0
Guadalupe;Cáceres;18.4 (14:20);5.6 (01:40);12;12 (14:50);6 (14:50);0;0;0;0;0
Cañamero;Cáceres;17.0 (16:00);5.7 (06:10);11,3;19 (02:00);8 (00:10);0;0;0;0;0
Zorita;Cáceres;16.9 (16:20);4.1 (08:30);10,5;23 (01:50);18 (01:50);0;0;0;0;0
Alcuescar;Cáceres;15.8 (15:20);1.8 (09:10);8,8;22 (01:20);12 (01:20);0;0;0;0;0
Chipiona;Cádiz;17.0 (16:30);6.7 (07:30);11,8;21 (13:20);11 (12:50);0;0;0;0;0
Rota, Base Naval;Cádiz;16.4 (16:30);5.5 (08:10);10,9;;;0;0;0;0;0
Grazalema;Cádiz;15.4 (14:50);3.6 (07:50);9,5;40 (10:20);21 (17:40);0;0;0;0;0
Olvera;Cádiz;18.5 (15:30);8.1 (06:40);13,3;37 (04:20);15 (05:20);0;0;0;0;0
El Bosque;Cádiz;19.7 (16:20);5.5 (09:00);12,6;24 (15:30);16 (15:30);0;0;0;0;0
San José del Valle;Cádiz;19.2 (14:40);10.8 (23:59);15;34 (05:00);23 (01:10);0;0;0;0;0
Jerez de la Frontera Aeropuerto;Cádiz;18.3 (15:10);2.7 (07:10);10,5;30 (12:50);20 (12:50);0;0;0;0;0
San Fernando;Cádiz;17.9 (16:00);12.5 (08:30);15,2;48 (13:20);26 (12:10);0;0;0;0;0
Cádiz;Cádiz;18.0 (16:00);11.5 (09:10);14,8;49 (13:10);37 (13:10);0;0;0;0;0
Medina Sidonia;Cádiz;17.1 (14:40);12.0 (07:40);14,6;55 (06:30);44 (08:50);0;0;0;0;0
Vejer de la Frontera;Cádiz;15.7 (14:00);11.1 (22:10);13,4;55 (01:20);28 (01:00);0;0;0;0;0
