Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de San Isidro;León;16.0 (14:30);-0.4 (05:40);7,8;21 (14:40);17 (14:40);0;0;0;0;0
León, Virgen del Camino;León;18.9 (14:50);0.4 (00:10);9,6;15 (00:40);12 (02:40);0;0;0;0;0
Valencia de Don Juan;León;16.4 (15:50);-1.7 (08:20);7,3;18 (21:20);13 (09:20);0;0;0;0;0
Barrios de Luna, Miñera;León;16.3 (16:10);-2.1 (08:50);7,1;20 (07:30);12 (08:50);0;0;0;0;0
Quintana del Castillo, Villameca;León;17.1 (15:10);1.9 (00:10);9,5;18 (21:40);15 (21:40);0;0;0;0;0
Astorga;León;;;;18 (06:10);12 (06:00);0;0;0;0;0
Lagunas de Somoza;León;17.6 (16:50);0.0 (00:40);8,8;23 (07:00);19 (06:40);0;0;0;0;0
Bustillo del Páramo;León;18.4 (15:50);-0.9 (00:10);8,7;17 (01:00);12 (06:20);0;0;0;0;0
Martinet;Lleida;16.8 (13:30);-0.9 (07:50);7,9;50 (16:10);19 (16:10);0;0;0;0;0
La Seu d'Urgell;Lleida;17.9 (14:30);-3.1 (04:50);7,4;;;0;0;0;0;0
Tuixent;Lleida;15.8 (14:00);1.5 (04:40);8,7;21 (13:40);10 (13:40);0;0;0;0;0
Coll de Nargó;Lleida;13.2 (12:40);-0.6 (01:10);6,3;47 (16:10);34 (15:50);0;0;0;0;0
Torà;Lleida;2.9 (16:20);-2.0 (06:10);0,5;;;0;0;0;0;0
Artesa de Segre;Lleida;2.3 (16:00);-0.5 (08:50);0,9;;;0;0;0;0;0
Esterri d'Àneu;Lleida;16.3 (14:10);0.0 (05:00);8,1;46 (12:10);22 (12:10);0;0;0;0;0
Torre de Cabdella;Lleida;16.1 (13:40);3.4 (23:20);9,8;;;0;0;0;0;0
Talarn;Lleida;15.1 (15:40);3.0 (06:10);9,1;15 (03:10);13 (03:10);0;0;0;0;0
Llimiana;Lleida;;;;;;;;;;
Granyanella;Lleida;2.3 (15:40);-1.7 (23:50);0,3;;;0;0;0;0;0
Tàrrega;Lleida;2.2 (15:40);-0.6 (03:10);0,8;12 (01:10);6 (01:10);0;0;0;0;0
Os de Balaguer;Lleida;1.8 (15:10);-2.2 (07:30);-0,2;18 (06:10);11 (06:10);0;0;0;0;0
Mollerussa;Lleida;3.0 (00:00);1.4 (22:20);2,2;11 (13:20);7 (13:20);0;0;0;0;0
Vall de Boí;Lleida;16.7 (14:50);3.3 (05:20);10;45 (13:30);25 (12:00);0;0;0;0;0
Lleida;Lleida;4.0 (15:50);1.9 (21:00);2,9;13 (20:10);7 (17:40);0;0;0;0;0
La Pobla de Cérvoles;Lleida;12.2 (13:30);0.3 (08:30);6,2;;;0;0;0;0;0
El Soleràs;Lleida;3.2 (14:00);-1.7 (04:20);0,8;;;0,2;0;0,2;0;0
Naut Aran, Arties;Lleida;10.0 (14:20);-1.1 (03:50);4,4;17 (18:10);8 (17:30);0;0;0;0;0
Bossòst;Lleida;15.2 (14:40);-0.3 (07:30);7,4;21 (05:30);13 (05:00);0;0;0;0;0
Cervantes;Lugo;18.0 (15:50);10.4 (23:40);14,2;41 (12:30);26 (10:40);0;0;0;0;0
Ribadeo;Lugo;11.5 (16:40);2.5 (08:30);7;18 (03:30);15 (05:40);0;0;0;0;0
Mondoñedo;Lugo;12.2 (15:50);-0.7 (09:40);5,7;;;0;0;0;0;0
Burela;Lugo;11.6 (14:50);6.3 (09:00);9;;;0;0;0;0;0
Lugo Aeropuerto;Lugo;9.6 (17:30);-3.8 (09:10);2,9;8 (21:10);5 (19:30);0,2;0;0,2;0;0
Lugo;Lugo;8.8 (16:20);-2.1 (08:50);3,4;10 (02:30);4 (02:30);0,2;0;0;0,2;0
O Páramo;Lugo;9.3 (17:10);-2.6 (09:10);3,4;;;0,2;0;0,2;0;0
Becerreá;Lugo;16.2 (14:50);8.5 (20:50);12,4;33 (09:50);19 (09:00);0;0;0;0;0
O Saviñao;Lugo;16.4 (16:10);-0.1 (04:50);8,1;;6 (08:50);0,2;0;0,2;0;0
Folgoso do Courel;Lugo;13.8 (15:10);0.8 (06:10);7,3;;;0;0;0;0;0
Monforte de Lemos;Lugo;8.2 (16:50);-1.4 (23:20);3,4;5 (16:00);3 (05:10);;;;;
Puerto de Navacerrada;Madrid;13.2 (13:00);5.2 (00:00);9,2;30 (03:10);22 (03:20);0;0;0;0;0
Aranjuez;Madrid;15.3 (16:20);-4.4 (07:00);5,5;15 (00:50);9 (01:00);0;0;0;0;0
Rascafría;Madrid;18.7 (15:30);-4.9 (06:20);6,9;8 (13:40);4 (13:30);0;0;0;0;0
Buitrago del Lozoya;Madrid;15.6 (14:40);-5.4 (05:10);5,1;14 (15:00);7 (14:50);0;0;0;0;0
Somosierra;Madrid;;;;;;;;;;
Madrid, El Goloso;Madrid;15.0 (15:40);-3.5 (07:10);5,8;10 (16:10);5 (13:40);0;0;0;0;0
Madrid Aeropuerto;Madrid;;;;;;0;0;0;0;0
Alcala de Henares;Madrid;17.3 (17:10);-3.6 (08:40);6,8;17 (01:20);11 (01:30);0;0;0;0;0
Arganda del Rey;Madrid;15.9 (17:10);-4.3 (07:10);5,8;12 (11:10);8 (11:30);0;0;0;0;0
Colmenar Viejo;Madrid;14.5 (12:50);6.8 (05:30);10,7;15 (01:00);11 (01:20);0;0;0;0;0
Madrid, Ciudad Universitaria;Madrid;16.3 (17:00);-3.0 (08:20);6,6;11 (14:20);6 (03:10);0;0;0;0;0
Pozuelo de Alarcón;Madrid;17.6 (15:50);-4.5 (06:20);6,6;;;0;0;0;0;0
Madrid, Retiro;Madrid;13.4 (16:30);0.7 (08:50);7;15 (04:00);7 (00:50);0;0;0;0;0
Tielmes;Madrid;15.7 (15:50);-3.0 (08:20);6,3;;;0;0;0;0;0
Puerto Alto del León;Madrid;14.1 (14:20);4.5 (19:50);9,3;;;0;0;0;0;0
Alpedrete;Madrid;19.0 (13:30);2.3 (07:30);10,6;12 (14:20);6 (15:40);0;0;0;0;0
Torrelodones;Madrid;16.6 (14:50);0.3 (08:50);8,5;13 (14:40);10 (05:10);0;0;0;0;0
Rozas de Puerto Real;Madrid;;;;;;;;;;
Valdemorillo;Madrid;15.6 (16:10);2.4 (07:50);9;13 (04:30);8 (01:50);0;0;0;0;0
Villanueva de la Cañada;Madrid;16.5 (16:00);0.1 (07:10);8,3;16 (04:50);13 (00:20);0;0;0;0;0
Ronda Instituto;Málaga;17.0 (14:30);7.3 (08:10);12,2;40 (00:10);20 (00:10);0;0;0;0;0
Cortes de la Frontera;Málaga;17.3 (12:40);5.9 (23:59);11,6;28 (10:20);8 (11:30);0;0;0;0;0
Alpandeire;Málaga;15.5 (14:30);7.2 (08:40);11,3;32 (05:00);17 (05:00);0;0;0;0;0
Gaucín;Málaga;15.8 (15:20);8.2 (04:00);12;26 (13:40);9 (12:00);0;0;0;0;0
Manilva;Málaga;16.1 (16:10);11.4 (22:20);13,8;36 (12:00);24 (12:00);0;0;0;0;0
Estepona;Málaga;17.1 (14:10);11.9 (23:40);14,5;37 (11:50);21 (12:10);0;0;0;0;0
Benahavís;Málaga;14.5 (13:30);6.8 (23:30);10,7;28 (10:30);14 (10:00);0;0;0;0;0
Marbella, Puerto;Málaga;;;;29 (07:20);23 (18:30);0;0;0;0;0
Marbella;Málaga;16.2 (12:40);11.2 (23:50);13,7;36 (02:00);30 (01:20);0;0;0;0;0
Fuengirola;Málaga;16.0 (16:20);10.9 (23:59);13,4;30 (00:10);22 (00:40);0;0;0;0;0
Torremolinos;Málaga;17.2 (16:40);10.1 (23:20);13,7;16 (11:50);8 (13:30);0;0;0;0;0
Antequera;Málaga;14.9 (15:30);6.1 (23:50);10,5;37 (05:30);20 (10:30);0;0;0;0;0
Álora;Málaga;17.2 (15:10);7.2 (23:59);12,2;30 (13:30);22 (13:30);0;0;0;0;0
Coín;Málaga;19.3 (16:00);7.4 (23:50);13,3;;;0;0;0;0;0
Málaga Aeropuerto;Málaga;17.2 (15:00);7.0 (09:00);12,1;26 (08:40);20 (08:40);0;0;0;0;0
Málaga, Centro Meteorológico;Málaga;18.4 (14:30);7.3 (07:30);12,8;18 (12:30);11 (12:40);0;0;0;0;0
Málaga, Puerto;Málaga;16.9 (11:40);10.1 (08:10);13,5;19 (12:10);13 (12:20);0;0;0;0;0
Rincón de la Victoria;Málaga;;;;;;;;;;
Vélez-Málaga;Málaga;19.3 (12:20);6.7 (08:20);13;;;0;0;0;0;0
Algarrobo;Málaga;17.2 (15:40);7.9 (05:40);12,6;19 (13:30);13 (13:40);0;0;0;0;0
Nerja;Málaga;17.0 (13:50);9.7 (04:10);13,3;18 (06:20);11 (05:00);0;0;0;0;0
Fuente de Piedra;Málaga;16.5 (16:20);4.0 (23:30);10,3;31 (14:00);22 (14:40);0;0;0;0;0
Melilla;Melilla;16.8 (12:20);11.6 (08:30);14,2;27 (00:50);17 (00:10);0;0;0;0;0
Águilas;Murcia;17.9 (13:40);6.4 (08:20);12,1;14 (00:30);8 (08:30);0;0;0;0;0
Mazarrón;Murcia;19.4 (14:40);6.6 (07:50);13;15 (06:50);12 (06:40);0;0;0;0;0
Cartagena;Murcia;19.0 (15:40);3.4 (09:00);11,2;13 (16:00);8 (16:00);0;0;0;0;0
Fuente Álamo de Murcia;Murcia;20.0 (15:50);3.3 (08:00);11,6;;;0;0;0;0;0
Torre-Pacheco;Murcia;19.1 (15:40);3.6 (06:00);11,4;15 (08:10);9 (08:10);0;0;0;0;0
San Javier Aeropuerto;Murcia;20.2 (14:40);3.4 (08:20);11,8;18 (11:00);14 (06:50);0;0;0;0;0
Moratalla;Murcia;13.0 (11:50);2.1 (02:30);7,5;;;0;0;0;0;0
Caravaca de La Cruz;Murcia;15.2 (11:50);0.2 (07:00);7,7;28 (04:40);19 (04:50);0;0;0;0;0
Calasparra;Murcia;18.3 (16:20);0.4 (08:20);9,3;13 (21:00);8 (21:00);0;0;0;0;0
Bullas;Murcia;16.0 (15:50);2.8 (07:40);9,4;;;0;0;0;0;0
Jumilla;Murcia;17.6 (15:10);-3.3 (08:00);7,2;15 (16:10);10 (16:00);0;0;0;0;0
Cieza;Murcia;17.1 (17:00);-0.1 (07:50);8,5;23 (10:20);17 (10:20);0;0;0;0;0
Archena;Murcia;19.9 (16:10);5.8 (07:50);12,8;;;0;0;0;0;0
Mula;Murcia;18.9 (13:50);3.9 (07:20);11,4;25 (09:20);16 (05:30);0;0;0;0;0
Murcia;Murcia;20.5 (16:10);2.5 (08:40);11,5;17 (08:50);13 (08:50);0;0;0;0;0
Caravaca de La Cruz, Los Royos;Murcia;15.1 (15:30);0.2 (02:00);7,7;;;0;0;0;0;0
Lorca, Zarcilla de Ramos;Murcia;18.6 (16:00);0.5 (08:20);9,6;24 (02:40);17 (02:40);0;0;0;0;0
Lorca;Murcia;18.5 (14:10);0.3 (08:30);9,4;13 (01:00);7 (01:00);0;0;0;0;0
Puerto Lumbreras;Murcia;18.8 (15:30);5.8 (07:30);12,3;;;0;0;0;0;0
Totana;Murcia;19.3 (15:40);2.7 (08:50);11;12 (23:20);5 (10:00);0;0;0;0;0
Alhama de Murcia;Murcia;18.0 (16:00);2.2 (07:10);10,1;16 (20:20);10 (20:40);0;0;0;0;0
Molina de Segura;Murcia;18.4 (15:30);4.7 (23:10);11,5;31 (09:50);22 (07:20);0;0;0;0;0
Abanilla;Murcia;19.4 (15:20);1.1 (06:20);10,2;;;0;0;0;0;0
Yecla;Murcia;17.6 (15:20);-4.0 (07:50);6,8;19 (15:30);17 (19:00);0;0;0;0;0
Baztan, Irurita;Navarra;8.1 (16:20);-1.5 (23:20);3,3;9 (09:50);4 (17:00);0;0;0;0;0
Bera;Navarra;8.9 (15:50);2.6 (09:40);5,7;13 (16:10);6 (16:20);0;0;0;0;0
Areso;Navarra;12.1 (15:00);-1.0 (04:20);5,6;8 (14:00);4 (13:50);0;0;0;0;0
Los Arcos;Navarra;18.2 (16:20);3.2 (03:30);10,7;23 (14:00);14 (05:00);0;0;0;0;0
Isaba/Izaba;Navarra;17.7 (13:00);-0.7 (09:10);8,5;44 (14:50);26 (14:30);0;0;0;0;0
Oroz-Betelu/Orotz-Betelu;Navarra;17.8 (13:10);1.5 (08:10);9,6;53 (20:00);36 (15:30);0;0;0;0;0
Roncesvalles;Navarra;14.3 (12:40);3.7 (23:59);9;43 (09:40);19 (09:10);0;0;0;0;0
Navascués/Nabaskoze;Navarra;12.7 (15:40);-6.3 (08:20);3,2;;;0;0;0;0;0
Cáseda;Navarra;9.9 (15:20);-2.8 (09:10);3,5;10 (18:40);6 (10:50);0;0;0;0;0
Olite/Erriberri;Navarra;12.4 (15:00);-2.5 (08:00);4,9;26 (20:10);16 (19:30);0;0;0;0;0
Esteribar, Eugui;Navarra;14.8 (13:10);3.2 (08:00);9;;;0;0;0;0;0
Monreal/Elo;Navarra;15.8 (15:20);0.8 (08:00);8,3;40 (18:00);30 (17:40);0;0;0;0;0
Pamplona Aeropuerto;Navarra;18.3 (15:00);-1.7 (08:30);8,3;41 (15:50);32 (19:00);0;0;0;0;0
Aranguren, Ilundain;Navarra;;;;;;;0;0;0;
Irurtzun;Navarra;16.9 (14:20);0.3 (06:20);8,6;36 (14:40);16 (14:50);0;0;0;0;0
Larraga;Navarra;16.9 (16:40);-1.5 (08:40);7,7;37 (18:00);24 (18:10);0;0;0;0;0
Bardenas Reales, Base Aérea;Navarra;11.7 (16:20);-3.1 (07:30);4,3;18 (18:30);16 (18:30);0;0;0;0;0
Monteagudo;Navarra;13.6 (15:50);-1.6 (07:50);6;;;0;0;0;0;0
Tudela;Navarra;7.7 (16:20);-2.7 (09:20);2,5;14 (21:50);8 (21:50);0;0;0;0;0
Luzaide/Valcarlos;Navarra;7.3 (15:00);-2.7 (09:30);2,3;20 (05:00);12 (15:40);0;0;0;0;0
O Barco de Valdeorras;Ourense;8.6 (17:00);-2.2 (09:30);3,2;;;0;0;0;0;0
A Pobra de Trives;Ourense;13.8 (14:50);-0.7 (07:50);6,6;19 (07:30);15 (07:30);0;0;0;0;0
Chandrexa de Queixa;Ourense;15.4 (14:50);-1.7 (07:30);6,8;11 (15:10);7 (13:00);0;0;0;0;0
Ourense;Ourense;;;;;;;;;;
Beariz;Ourense;18.0 (16:30);-4.5 (08:20);6,8;;;0;0;0;0;0
Carballiño, O;Ourense;15.2 (15:50);-2.4 (08:50);6,4;3 (15:20);0 (00:10);0;0;0;0;0
Ribadavia;Ourense;9.1 (16:40);0.2 (08:40);4,7;;;0;0;0;0;0
Allariz;Ourense;15.3 (15:30);-3.1 (08:40);6,1;;;0;0;0;0;0
Xinzo de Limia;Ourense;16.7 (15:20);-7.7 (08:00);4,5;18 (14:10);11 (15:30);0;0;0;0;0
Muiños;Ourense;17.4 (13:10);2.5 (00:00);9,9;;;0;0;0;0;0
A Gudiña;Ourense;15.7 (15:50);4.7 (05:40);10,2;;;;;;;
Verín;Ourense;11.1 (15:50);-6.0 (09:10);2,6;;;0;0;0;0;0
Cervera de Pisuerga;Palencia;18.5 (13:20);3.9 (01:40);11,2;28 (17:10);17 (10:00);0;0;0;0;0
Aguilar de Campoo;Palencia;16.3 (15:10);-2.4 (06:30);6,9;33 (14:20);20 (14:10);0;0;0;0;0
Villaeles de Valdavia;Palencia;15.4 (14:20);0.7 (08:30);8;33 (15:40);19 (15:40);0;0;0;0;0
Velilla del Río Carrión, Camporredondo de Alba;Palencia;15.3 (14:40);5.2 (03:00);10,3;28 (20:30);22 (20:00);0;0;0;0;0
Carrión de los Condes;Palencia;16.6 (15:40);-0.7 (09:10);8;30 (22:50);16 (22:50);0;0;0;0;0
Autilla del Pino;Palencia;13.7 (16:50);-0.7 (09:30);6,5;23 (01:30);19 (01:40);0;0;0;0;0
Palencia;Palencia;13.5 (16:10);-4.1 (09:00);4,7;10 (00:30);8 (17:40);0;0;0;0;0
Santervás de la Vega, Villapún;Palencia;16.3 (14:30);2.6 (07:40);9,4;32 (13:20);22 (13:10);0;0;0;0;0
Silleda;Pontevedra;18.5 (14:40);6.0 (22:00);12,3;29 (07:40);20 (07:40);0;0;0;0;0
A Estrada;Pontevedra;14.9 (15:40);0.7 (08:50);7,8;;;0;0;0;0;0
VilagarcÍa de Arousa;Pontevedra;16.6 (16:40);2.4 (09:20);9,5;13 (00:40);8 (07:10);0;0;0;0;0
Pontevedra;Pontevedra;16.3 (17:20);5.1 (09:50);10,7;21 (01:40);13 (01:50);0;0;0;0;0
A Lama;Pontevedra;19.0 (13:50);1.1 (23:59);10,1;27 (07:40);15 (08:10);0;0;0;0;0
Vigo Aeropuerto;Pontevedra;13.7 (15:00);3.1 (09:30);8,4;26 (07:00);18 (08:30);0;0;0;0;0
Vigo;Pontevedra;17.9 (15:20);8.4 (09:20);13,1;15 (05:50);6 (05:50);0;0;0;0;0
A Cañiza;Pontevedra;17.9 (14:30);4.9 (08:50);11,4;;;0;0;0;0;0
Ponteareas, Canedo;Pontevedra;14.7 (16:30);-1.7 (09:10);6,5;;;0;0;0;0;0
O Rosal;Pontevedra;16.7 (16:50);0.8 (08:30);8,8;;;0;0;0;0;0
La Covatilla, estación de esquí;Salamanca;12.0 (16:00);2.2 (20:20);7,1;40 (00:10);27 (00:10);0;0;0;0;0
Pedrosillo de Los Aires;Salamanca;12.9 (15:10);-6.4 (08:30);3,2;24 (16:20);19 (16:20);0;0;0;0;0
Pedraza de Alba;Salamanca;10.9 (14:10);-5.9 (08:20);2,5;14 (14:50);10 (14:40);0,2;0;0,2;0;0
Salamanca Aeropuerto;Salamanca;12.9 (17:10);-5.6 (06:40);3,6;17 (15:00);12 (15:40);0;0;0;0;0
Salamanca;Salamanca;14.5 (16:50);-3.0 (08:40);5,8;10 (14:40);5 (08:10);0;0;0;0;0
Barbadillo;Salamanca;11.9 (17:10);-5.2 (08:00);3,3;15 (12:30);12 (12:30);0;0;0;0;0
Ledesma;Salamanca;12.3 (15:50);-4.8 (08:20);3,8;17 (14:50);13 (15:00);0;0;0;0;0
Villarino de los Aires;Salamanca;17.9 (16:50);-0.3 (07:10);8,8;19 (04:40);16 (05:00);0;0;0;0;0
Boadilla Fuente San Esteban;Salamanca;13.4 (16:20);-2.1 (09:00);5,6;19 (01:50);12 (00:40);0;0;0;0;0
Vitigudino;Salamanca;14.4 (15:50);-1.5 (08:20);6,4;22 (03:20);17 (02:20);0;0;0;0;0
El Maíllo;Salamanca;15.5 (12:40);2.9 (06:10);9,2;26 (23:00);22 (22:10);0;0;0;0;0
Bañobárez;Salamanca;13.0 (15:50);-2.6 (04:10);5,2;19 (00:20);13 (00:20);0;0;0;0;0
Navasfrías;Salamanca;16.1 (15:00);-5.4 (06:10);5,4;13 (15:40);8 (15:50);0;0;0;0;0
El Bodón Base Aérea;Salamanca;11.1 (16:30);-3.4 (08:10);3,9;18 (08:50);14 (08:50);0;0;0;0;0
Saelices El Chico;Salamanca;13.4 (17:30);-4.9 (08:40);4,2;12 (22:10);9 (22:10);0;0;0;0;0
Fresno de Cantespino;Segovia;14.0 (15:50);-6.4 (07:00);3,8;16 (22:00);12 (22:00);0;0;0;0;0
Aldeanueva de Serrezuela;Segovia;14.4 (14:30);6.9 (23:30);10,6;18 (22:00);13 (22:00);0;0;0;0;0
La Pinilla, estación de esquí;Segovia;11.7 (13:30);4.3 (23:10);8;37 (00:20);31 (02:20);0;0;0;0;0
Pedraza;Segovia;15.3 (16:00);1.9 (01:50);8,6;12 (01:50);9 (22:40);0;0;0;0;0
Cuéllar;Segovia;17.2 (16:40);-8.3 (06:40);4,5;10 (14:20);5 (18:10);0;0;0;0;0
Segovia;Segovia;14.4 (14:30);1.6 (04:30);8;13 (15:10);9 (15:10);0;0;0;0;0
San Rafael;Segovia;16.5 (14:10);0.0 (08:10);8,3;;;0;0;0;0;0
Miguelañez;Segovia;12.8 (16:30);-2.2 (08:30);5,3;18 (07:00);15 (06:40);0;0;0;0;0
La Roda de Andalucía;Sevilla;17.3 (16:30);2.8 (07:30);10;27 (11:00);16 (15:20);0;0;0;0;0
Lora de Estepa;Sevilla;17.2 (17:00);7.9 (06:50);12,6;;;0;0;0;0;0
Écija;Sevilla;18.0 (16:40);3.0 (08:20);10,5;17 (12:40);12 (16:50);0;0;0;0;0
La Puebla de los Infantes;Sevilla;16.2 (16:00);-1.4 (07:10);7,4;18 (12:10);13 (12:30);0;0;0;0;0
Fuentes de Andalucía;Sevilla;16.8 (15:40);5.0 (08:50);10,9;22 (15:30);13 (20:30);0;0;0;0;0
Carmona;Sevilla;17.4 (16:20);5.1 (08:40);11,2;35 (11:40);24 (11:30);0;0;0;0;0
Cazalla de la Sierra;Sevilla;17.0 (15:40);0.4 (07:00);8,7;17 (11:10);10 (11:10);0;0;0;0;0
Guadalcanal;Sevilla;17.7 (16:40);3.8 (09:00);10,8;20 (21:20);17 (21:20);0;0;0;0;0
Almadén de la Plata;Sevilla;15.8 (15:40);4.4 (09:20);10,1;22 (13:20);11 (13:30);0;0;0;0;0
Sevilla Aeropuerto;Sevilla;17.6 (15:50);5.2 (08:40);11,4;32 (13:50);25 (13:50);0;0;0;0;0
Sevilla, Tablada;Sevilla;18.3 (15:00);6.5 (07:30);12,4;21 (15:50);11 (15:10);0;0;0;0;0
Morón de la Frontera;Sevilla;19.8 (16:30);4.6 (07:40);12,2;26 (21:50);14 (00:30);0;0;0;0;0
Carrión de los Céspedes;Sevilla;17.3 (16:20);7.5 (06:00);12,4;32 (09:50);18 (10:50);0;0;0;0;0
Las Cabezas de San Juan;Sevilla;18.4 (16:20);3.6 (07:10);11;15 (13:40);9 (13:40);0;0;0;0;0
Osuna;Sevilla;17.9 (16:00);10.4 (07:50);14,1;34 (05:00);19 (11:40);0;0;0;0;0
Vinuesa, Quintanarejo;Soria;17.1 (14:10);-0.9 (07:30);8,1;;;0;0;0;0;0
La Póveda de Soria, Barriomartín;Soria;15.3 (13:10);2.3 (05:00);8,8;41 (22:00);25 (21:50);0;0;0;0;0
Soria;Soria;19.4 (16:10);-3.3 (06:50);8;10 (16:30);7 (16:40);0;0;0;0;0
Lubia;Soria;16.9 (14:40);-1.5 (07:10);7,7;20 (13:20);13 (13:20);0;0;0;0;0
Morón de Almazán;Soria;14.6 (15:30);-7.2 (08:30);3,7;21 (16:00);14 (15:20);0;0;0;0;0
La Riba de Escalote;Soria;15.2 (15:20);-5.9 (08:40);4,6;21 (15:50);14 (16:00);0;0;0;0;0
Ucero;Soria;14.3 (14:30);-5.3 (09:30);4,5;;;0;0;0;0;0
Burgo de Osma;Soria;14.0 (16:20);-6.5 (07:40);3,8;18 (15:50);14 (15:50);0;0;0;0;0
Liceras;Soria;13.8 (11:30);1.4 (05:50);7,6;17 (14:10);14 (10:50);0;0;0;0;0
Ólvega;Soria;18.4 (12:30);-0.5 (08:20);8,9;19 (02:50);13 (00:10);0;0;0;0;0
San Pedro Manrique;Soria;15.9 (13:50);-4.6 (08:30);5,6;23 (15:30);14 (15:40);0;0;0;0;0
Arcos de Jalón;Soria;16.0 (16:20);-3.1 (07:30);6,5;22 (01:30);18 (01:20);0;0;0;0;0
Almazul;Soria;15.1 (16:00);-3.5 (08:20);5,8;15 (14:30);11 (15:10);0;0;0;0;0
Puntagorda;Santa Cruz de Tenerife;16.2 (11:50);9.4 (02:10);12,8;44 (15:10);31 (15:10);0;0;0;0;0
Tijarafe;Santa Cruz de Tenerife;17.1 (16:40);10.3 (01:30);13,7;39 (22:40);9 (22:40);0;0;0;0;0
El Paso;Santa Cruz de Tenerife;16.4 (12:10);5.6 (05:00);11;26 (15:00);17 (16:20);0;0;0;0;0
Fuencaliente;Santa Cruz de Tenerife;21.3 (15:00);16.4 (04:40);18,8;36 (13:30);27 (13:20);0;0;0;0;0
Tazacorte;Santa Cruz de Tenerife;21.0 (14:40);15.3 (03:30);18,2;33 (14:30);16 (12:50);0;0;0;0;0
La Palma Aeropuerto;Santa Cruz de Tenerife;21.7 (15:50);16.1 (00:10);18,9;39 (16:00);29 (16:40);0;0;0;0;0
San Andrés y Sauces;Santa Cruz de Tenerife;18.8 (11:00);12.8 (02:10);15,8;37 (12:50);22 (11:40);0;0;0;0;0
Vallehermoso, Alto Igualero;Santa Cruz de Tenerife;11.2 (16:10);4.6 (07:10);7,9;51 (10:00);41 (09:20);0,2;0;0,2;0;0
Arure;Santa Cruz de Tenerife;16.2 (15:10);8.4 (00:00);12,3;42 (23:20);27 (23:00);0;0;0;0;0
Agulo;Santa Cruz de Tenerife;18.2 (15:40);10.0 (00:30);14,1;40 (09:20);23 (13:10);0;0;0;0;0
Vallehermoso, Dama;Santa Cruz de Tenerife;21.6 (15:20);13.9 (00:00);17,8;45 (11:50);27 (11:50);0;0;0;0;0
Hermigua;Santa Cruz de Tenerife;20.9 (15:20);10.9 (23:30);15,9;37 (13:40);14 (13:00);0;0;0;0;0
San Sebastián de la Gomera;Santa Cruz de Tenerife;20.7 (14:20);15.6 (00:00);18,2;32 (12:10);18 (11:50);0;0;0;0;0
La Orotava, Cañadas Teide;Santa Cruz de Tenerife;12.2 (15:50);-1.3 (04:30);5,4;28 (16:00);18 (16:10);0;0;0;0;0
Adeje;Santa Cruz de Tenerife;23.2 (14:30);16.1 (05:20);19,7;33 (10:10);15 (22:10);0;0;0;0;0
Arico;Santa Cruz de Tenerife;21.1 (14:50);12.7 (08:30);16,9;31 (13:40);19 (15:10);0;0;0;0;0
Tenerife Sur Aeropuerto;Santa Cruz de Tenerife;23.7 (14:10);14.5 (07:50);19,1;26 (06:40);16 (23:10);0;0;0;0;0
Izaña;Santa Cruz de Tenerife;8.9 (12:10);2.5 (07:00);5,7;44 (19:00);34 (19:00);0;0;0;0;0
Candelaria;Santa Cruz de Tenerife;19.5 (14:10);11.7 (00:40);15,6;40 (13:00);24 (14:50);0;0;0;0;0
Güímar;Santa Cruz de Tenerife;22.9 (14:30);11.8 (23:10);17,3;30 (15:00);25 (15:00);0;0;0;0;0
San Cristóbal de La Laguna,Llano de los Loros;Santa Cruz de Tenerife;17.9 (14:00);8.1 (22:00);13;47 (12:40);29 (12:20);0;0;0;0;0
Tenerife Norte Aeropuerto;Santa Cruz de Tenerife;17.9 (15:00);10.2 (22:20);14;41 (15:30);24 (12:30);;;;;
Sta.Cruz de Tenerife;Santa Cruz de Tenerife;23.1 (15:10);15.7 (23:50);19,4;26 (16:30);14 (16:50);0;0;0;0;0
Anaga;Santa Cruz de Tenerife;22.3 (15:10);14.3 (23:59);18,3;25 (17:10);12 (12:00);0;0;0;0;0
La Victoria de Acentejo;Santa Cruz de Tenerife;18.1 (15:40);8.7 (07:40);13,4;23 (21:10);19 (21:40);0;0;0;0;0
Tacoronte;Santa Cruz de Tenerife;19.5 (15:30);12.6 (04:10);16,1;22 (04:20);15 (04:20);0;0;0;0;0
Puerto de la Cruz;Santa Cruz de Tenerife;21.1 (17:30);15.1 (08:00);18,1;19 (06:20);11 (06:30);0;0;0;0;0
Los Silos;Santa Cruz de Tenerife;21.3 (15:10);13.4 (23:40);17,3;18 (05:40);13 (22:10);0;0;0;0;0
El Pinar, Depósito;Santa Cruz de Tenerife;14.0 (15:20);6.1 (00:00);10;27 (11:10);14 (11:10);0;0;0;0;0
Valverde;Santa Cruz de Tenerife;12.1 (14:50);4.8 (00:30);8,5;42 (10:10);25 (10:00);0;0;0;0;0
Hierro Aeropuerto;Santa Cruz de Tenerife;21.8 (13:30);16.6 (01:40);19,2;37 (11:20);30 (14:10);0;0;0;0;0
Frontera, Sabinosa;Santa Cruz de Tenerife;;;;;;;;;;
